Mix,Name,Formula,CAS number,inchikey,smiles,[M+H]+,[M+NH4]+,[M+Na]+,[M-H2O+H]+
1,Methyl Orsellinate,C9H10O4,3187-58-4,NCCWCZLEACWJIN-UHFFFAOYSA-N,CC1=CC(=CC(=C1C(=O)OC)O)O,183.0652,200.0917,205.0471,165.0546
1,Vincamine,C21H26N2O3,1617-90-9,RXPRRQLKFXBCSJ-GIVPXCGWSA-N,CC[C@@]12CCCN3[C@@H]1C4=C(CC3)C5=CC=CC=C5N4[C@](C2)(C(=O)OC)O,355.2016,372.2282,377.1836,337.1911
1,3-Hydroxytyramine,C8H11NO2,62-31-7,VYFYYTLLBUKUHU-UHFFFAOYSA-N,C1=CC(=C(C=C1CCN)O)O,154.0863,171.1128,176.0682,136.0757
1,Protoporphyrin IX,C34H34N4O4,553-12-8,ZCFFYALKHPIRKJ-UHFFFAOYSA-N,CC1=C(C2=CC3=NC(=CC4=NC(=CC5=C(C(=C(N5)C=C1N2)C=C)C)C(=C4CCC(=O)O)C)C(=C3C)CCC(=O)O)C=C,563.2653,580.2918,585.2472,545.2547
1,Xylocarpus A,C31H38O11,No CAS#,AOUYWWJPLUTFAB-NUIIJRBZSA-N,CC(=O)O[C@@H]1[C@H]2C(C(C([C@@]3([C@@]2(O[C@]14C3CC[C@@]5(C4=CC(=O)O[C@H]5C6=COC=C6)C)O)C)CC(=O)OC)(C)C)OC(=O)C,587.2487,604.2752,609.2306,569.2381
1,Methyl 7-Deshydroxypyrogallin-4-Carboxylate,C12H13NO2,77-41-8,AJXPJJZHWIXJCJ-UHFFFAOYSA-N,CC1(CC(=O)N(C1=O)C)C2=CC=CC=C2,204.1019,221.1285,226.0838,186.0913
1,Purpurogallin,C11H8O5,569-77-7,WDGFFVCWBZVLCE-UHFFFAOYSA-N,C1=CC(=O)C(=C2C(=C1)C=C(C(=C2O)O)O)O,221.0444,238.071,243.0264,203.0339
1,Capsanthin,C40H56O3,465-42-9,VYIRVAXUEZSDNC-RDJLEWNRSA-N,CC1=C(C(C[C@@H](C1)O)(C)C)/C=C/C(=C/C=C/C(=C/C=C/C=C(\C)/C=C/C=C(\C)/C=C/C(=O)[C@@]2(C[C@H](CC2(C)C)O)C)/C)/C,585.4302,602.4568,607.4122,567.4197
1,Theaflavin Monogallates,C36H28O16,No CAS#,KMJPKUVSXFVQGZ-WQLSNUALSA-N,C1[C@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C4=C(C(=O)C=C(C=C34)[C@@H]5[C@@H](CC6=C(C=C(C=C6O5)O)O)OC(=O)C7=CC(=C(C(=C7)O)O)O)O)O)O)O,717.145,734.1716,739.127,699.1344
1,Pristimerin,C30H40O4,1258-84-0,JFACETXYABVHFD-WXPPGMDDSA-N,CC1=C(C(=O)C=C2C1=CC=C3[C@]2(CC[C@@]4([C@@]3(CC[C@@]5([C@H]4C[C@](CC5)(C)C(=O)OC)C)C)C)C)O,465.2999,482.3265,487.2819,447.2894
1,Celastrol,C29H38O4,34157-83-0,KQJSQWZMSAGSHN-JJWQIEBTSA-N,CC1=C(C(=O)C=C2C1=CC=C3[C@]2(CC[C@@]4([C@@]3(CC[C@@]5([C@H]4C[C@](CC5)(C)C(=O)O)C)C)C)C)O,451.2843,468.3108,473.2662,433.2737
1,Peucenin,C15H16O4,578-72-3,DTNGBIGBPPPNNB-UHFFFAOYSA-N,CC1=CC(=O)C2=C(O1)C=C(C(=C2O)CC=C(C)C)O,261.1121,278.1387,283.0941,243.1016
2,Lobeline Hydrochloride,C22H27NO2,90-69-7,MXYUKLILVYORSK-HBMCJLEFSA-N,CN1[C@@H](CCC[C@@H]1CC(=O)C2=CC=CC=C2)C[C@@H](C3=CC=CC=C3)O,338.2115,355.238,360.1934,320.2009
2,N-Methylbenzylamine Hydrochloride,C8H11N,103-67-3,RIWRFSMVIUAEBX-UHFFFAOYSA-N,CNCC1=CC=CC=C1,122.0964,139.123,144.0784,104.0859
2,Podototarin,C40H58O2,No CAS#,RFUVOURUUJLQSB-QFFMKFBWSA-N,CC(C)C1=C(C(=CC2=C1CCC3[C@@]2(CCCC3(C)C)C)C4=CC5=C(CCC6[C@@]5(CCCC6(C)C)C)C(=C4O)C(C)C)O,571.451,588.4775,593.4329,553.4404
2,Lunarine,C25H31N3O4,24185-51-1,YIWJEBPTHXRHQF-LLMLIWGDSA-N,C1CCNC(=O)/C=C/[C@]23CCC(=O)C[C@H]2OC4=C3C=C(C=C4)/C=C/C(=O)NCCCNC1,438.2387,455.2653,460.2207,420.2282
2,Shikimic Acid,C7H10O5,138-59-0,JXOHGGNKMLTUBP-HSUXUTPPSA-N,C1[C@H]([C@@H]([C@@H](C=C1C(=O)O)O)O)O,175.0601,192.0866,197.042,157.0495
2,Bisanhydrorutilantinone,C22H16O7,749-18-8,DIAOGWYBBJCPAD-UHFFFAOYSA-N ,CCC1=C(C2=CC3=C(C(=C2C=C1)O)C(=O)C4=C(C=CC(=C4C3=O)O)O)C(=O)OC ,393.0969,410.1234,415.0788,375.0863
2,"2,6-Dimethoxyquinone",C8H8O4,35069-70-6,OLBNOBQOQZRLMP-UHFFFAOYSA-N ,COC1=CC(=O)C=C(C1=O)OC,169.0495,186.0761,191.0315,151.039
2,Galangin,C15H10O5,548-83-4,VCCRNZQBSJXYJD-UHFFFAOYSA-N,C1=CC=C(C=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O,271.0601,288.0866,293.042,253.0495
2,Chrysin,C15H10O4,480-40-0,RTIXKCRFFJGDFG-UHFFFAOYSA-N,C1=CC=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O,255.0652,272.0917,277.0471,237.0546
2,Oleanoic Acid,C30H48O3,508-02-1,MIJYXULNPSFWEK-GTOFXWBISA-N ,C[C@]12CC[C@@H](C([C@@H]1CC[C@@]3([C@@H]2CC=C4[C@]3(CC[C@@]5([C@H]4CC(CC5)(C)C)C(=O)O)C)C)(C)C)O,457.3676,474.3942,479.3496,439.3571
2,Dipteryxin,C17H14O6,53948-01-9,BSXFDHHTXOAUGB-UHFFFAOYSA-N,COC1=CC=C(C=C1)C2=COC3=C(C(=C(C=C3C2=O)OC)O)O,315.0863,332.1129,337.0683,297.0757
2,Allopregnanolone,C21H34O2,No CAS#,AURFZBICLPNKBZ-SYBPFIFISA-N,CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC[C@@H]4[C@@]3(CC[C@H](C4)O)C)C,319.2632,336.2897,341.2451,301.2526
2,3-Deacetylkhivorin,C30H40O9,No CAS#,PDKGFQJSCXMICA-GBOCIRNBSA-N,CC(=O)O[C@H]1C[C@H](C(C2[C@]1(C3CC[C@]4([C@@H](OC(=O)C5C4([C@@]3([C@@H](C2)OC(=O)C)C)O5)C6=COC=C6)C)C)(C)C)O,545.2745,562.3011,567.2565,527.2639
2,"1,3-Dideacetyl-7-Deacetoxy-7-Oxokhivorin",C26H34O7,No CAS#,BBSPXZBAZKHYLF-HUBYRZTESA-N,C[C@@]12CCC3[C@]4([C@H](C[C@H](C(C4CC(=O)[C@]3(C15C(O5)C(=O)O[C@H]2C6=COC=C6)C)(C)C)O)O)C,459.2377,476.2643,481.2197,441.2272
2,Deacetylgedunin,C26H32O6,No CAS#,HCEYJYMNIQHPPK-DXTZDJJUSA-N,C[C@@]12CC[C@@H]3[C@]4(C=CC(=O)C([C@@H]4C[C@H]([C@]3([C@@]15[C@H](O5)C(=O)O[C@H]2C6=COC=C6)C)O)(C)C)C,441.2272,458.2537,463.2091,423.2166
2,Tigogenin,C27H44O3,77-60-1,GMBQZIIUCVWOCD-MFRNJXNGSA-N,C[C@@H]1CC[C@@]2([C@H]([C@H]3[C@@H](O2)C[C@@H]4[C@@]3(CC[C@H]5[C@H]4CC[C@@H]6[C@@]5(CC[C@@H](C6)O)C)C)C)OC1,417.3363,434.3629,439.3183,399.3258
2,Garcinolic Acid,C38H46O9,No CAS#,VDSCKSOYNLTQSY-VGJPRPLGSA-N,CC(=CCCC1(C=CC2=C(C3=C(C(=C2O1)CC=C(C)C)OC45C(CCC=C4C3=O)C(O[C@@]5(C/C=C(\C)/C(=O)O)C(=O)O)(C)C)O)C)C,647.3215,664.348,669.3034,629.3109
2,8-Hydroxycarapinic Acid,C26H30O8,No CAS#,UKTUQKGXNWDYAI-JBRIXVCHSA-N,C[C@@]12CCC3[C@](C1=CC(=O)O[C@H]2C4=COC=C4)(C[C@H]5C(=O)C([C@@H](C3(C5=O)C)CC(=O)O)(C)C)O,471.2013,488.2279,493.1833,453.1908
2,"Haematommic Acid, Ethyl Ester",C11H12O5,39503-14-5,HUXJGSHUVDWZAM-UHFFFAOYSA-N,CCOC(=O)C1=C(C(=C(C=C1C)O)C=O)O,225.0757,242.1023,247.0577,207.0652
2,Prenyletin,C14H14O4,15870-91-4,AWEFUQDNSBBNCR-UHFFFAOYSA-N,CC(=CCOC1=C(C=C2C=CC(=O)OC2=C1)O)C,247.0965,264.123,269.0784,229.0859
2,Picrotin,C15H18O7,21416-53-5,RYEFFICCPKWYML-QCGISDTRSA-N,C[C@@]12[C@H]3[C@H]4[C@H]([C@@H]([C@@]1(C[C@@H]5[C@]2(O5)C(=O)O3)O)C(=O)O4)C(C)(C)O,311.1125,328.1391,333.0945,293.102
2,Lupeol,C30H50O,545-47-1,MQYXUWHLBZFQQO-QGTGJCAVSA-N,CC(=C)[C@@H]1CC[C@]2([C@H]1[C@H]3CC[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)O)C)C,427.3934,444.42,449.3754,409.3829
2,Podophyllin Acetate,C24H24O9,1180-34-3,SASVNKPCTLROPQ-NZYDNVMFSA-N,CC(=O)O[C@@H]1[C@H]2COC(=O)[C@@H]2[C@@H](C3=CC4=C(C=C13)OCO4)C5=CC(=C(C(=C5)OC)OC)OC,457.1493,474.1759,479.1313,439.1387
2,Osajin,C25H24O5,482-53-1,DCTLJGWMHPGCOS-UHFFFAOYSA-N,CC(=CCC1=C2C(=C3C(=C1O)C(=O)C(=CO3)C4=CC=C(C=C4)O)C=CC(O2)(C)C)C,405.1697,422.1962,427.1516,387.1591
2,Salidroside,C14H20O7,10338-51-9,ILRCGYURZSFMEG-RKQHYHRCSA-N,C1=CC(=CC=C1CCO[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O,301.1282,318.1547,323.1101,283.1176
2,Ptaeroxylin,C15H14O4,14729-11-4,IUIHYYSAVUBPQO-UHFFFAOYSA-N,CC1=CCC2=C(C=C3C(=C2O)C(=O)C=C(O3)C)OC1,259.0965,276.123,281.0784,241.0859
2,Anthothecol,C28H32O7,10410-83-0,AJTULIWKBMDPCJ-UHFFFAOYSA-N,CC(=O)OC1CC2(C(CC3C2(O3)C4(C1C5(C=CC(=O)C(C5=C(C4=O)O)(C)C)C)C)C6=COC=C6)C,481.2221,498.2486,503.204,463.2115
2,"8Beta-Hydroxycarapin, 3,8-Hemiacetal",C27H32O8,No CAS#,URGZBBCARSDFSL-PTRNVCADSA-N,C[C@@]12CCC3[C@@]4([C@H](C(C5(C(C4=O)CC3(C1=CC(=O)O[C@H]2C6=COC=C6)O5)O)(C)C)CC(=O)OC)C,485.217,502.2435,507.1989,467.2064
2,Dihydrocelastryl Diacetate,C33H44O6,No CAS#,SAOOBRUHTPONGX-UANCAJPASA-N,CC1=C2CC=C3[C@](C2=CC(=C1OC(=O)C)OC(=O)C)(CC[C@@]4([C@@]3(CC[C@@]5(C4C[C@](CC5)(C)C(=O)O)C)C)C)C,537.3211,554.3476,559.303,519.3105
2,3-Deshydroxysappanol Trimethyl Ether,C19H22O5,No CAS#,KXFFLWDYUNIJNU-YJYMSZOUSA-N,COC1=CC2=C(C=C1)[C@H]([C@@H](CO2)CC3=CC(=C(C=C3)OC)OC)O,331.154,348.1805,353.1359,313.1434
2,Dihydrocelastrol,C29H40O4,No CAS#,WZAUFGYINZYCKH-JJWQIEBTSA-N,CC1=C2CC=C3[C@](C2=CC(=C1O)O)(CC[C@@]4([C@@]3(CC[C@@]5([C@H]4C[C@](CC5)(C)C(=O)O)C)C)C)C,453.2999,470.3265,475.2819,435.2894
2,Merogedunin,C21H28O4,No CAS#,XQOSNJUURCKQGN-AXSGJTORSA-N,CC1=C2C(C(=O)OC3[C@@]2(C(CC1)[C@]4(C=CC(=O)C(C4C3)(C)C)C)C)O,345.206,362.2326,367.188,327.1955
2,"3,16-Dideoxymexicanolide-3Beta-Diol",C27H36O7,No CAS#,CNSUXOYAIZBGRY-AJTZKIQZSA-N,C[C@@]12CCC3C(=C1CC(O[C@H]2C4=COC=C4)O)C[C@H]5[C@@H](C([C@@H]([C@@]3(C5=O)C)CC(=O)OC)(C)C)O,473.2534,490.2799,495.2353,455.2428
2,"Totarol-19-Carboxylic Acid, Methyl Ester",C21H30O3,No CAS#,VEJJMTHWRMKGKN-SJRAPUSDSA-N,CC(C)C1=C(C=CC2=C1CCC3[C@@]2(CCC[C@]3(C)C(=O)OC)C)O,331.2268,348.2533,353.2087,313.2162
2,Cedrelone,C26H30O5,1254-85-9,OQMUOVSEPOBWMK-BWLMZZBKSA-N,C[C@@]12CC[C@@H]3[C@]4(C=CC(=O)C(C4=C(C(=O)[C@]3([C@@]15[C@H](O5)C[C@H]2C6=COC=C6)C)O)(C)C)C,423.2166,440.2431,445.1985,405.206
2,Norstictic Acid,C18H12O9,571-67-5,IEVVSJFLBYOUCJ-UHFFFAOYSA-N,CC1=CC(=C(C2=C1C(=O)OC3=C(O2)C4=C(C(=C3C)O)C(=O)OC4O)C=O)O,373.0554,390.082,395.0373,355.0448
2,Decahydrogambogic Acid,C38H54O8,No CAS#,ZZGVJHSBRGZEML-UHFFFAOYSA-N,CC(C)CCCC1(C=CC2=C(C3=C(C(=C2O1)CCC(C)C)OC45C(C3=O)CC6CC4C(OC5(C6O)CCC(C)C(=O)O)(C)C)O)C,639.3891,656.4157,661.3711,621.3786
2,7-Aminocephalosporanic Acid,C10H12N2O5S,957-68-6,HSHGZXNAXBPPDL-HZGVNTEJSA-N ,CC(=O)OCC1=C(N2[C@@H]([C@@H](C2=O)N)SC1)C(=O)O,273.054,290.0805,295.0359,255.0434
2,Totarol,C20H30O,511-15-9,ZRVDANDJSTYELM-FXAWDEMLSA-N  ,CC(C)C1=C(C=CC2=C1CC[C@@H]3[C@@]2(CCCC3(C)C)C)O,287.2369,304.2635,309.2189,269.2264
2,Carnosic Acid,C20H28O4,9/7/50,QRYRORQUOLYVBU-VBKZILBWSA-N,CC(C)C1=C(C(=C2C(=C1)CC[C@@H]3[C@@]2(CCCC3(C)C)C(=O)O)O)O,333.206,350.2326,355.188,315.1955
3,Patulin,C7H6O4,149-29-1,ZRWPUFFVAOMMNM-UHFFFAOYSA-N,C1C=C2C(=CC(=O)O2)C(O1)O,155.0339,172.0604,177.0158,137.0233
3,Lapachol,C15H14O3,84-79-7,CWPGNVFCJOPXFB-UHFFFAOYSA-N  ,CC(=CCC1=C(C2=CC=CC=C2C(=O)C1=O)O)C,243.1016,260.1281,265.0835,225.091
3,Orotic Acid,C5H4N2O4,65-86-1,PXQPEWDEAKTCGB-UHFFFAOYSA-N,C1=C(NC(=O)NC1=O)C(=O)O,157.0244,174.0509,179.0063,139.0138
3,Lithocholic Acid,C24H40O3,434-13-9,SMEROWZSTRWXGI-HVATVPOCSA-N,C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC[C@H]4[C@@]3(CC[C@H](C4)O)C)C,377.305,394.3316,399.287,359.2945
3,Bergenin,C14H16O9,477-90-7,YWJXCIXBAKGUKZ-HJJNZUOJSA-N,COC1=C(C=C2C(=C1O)[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)OC2=O)O,329.0867,346.1133,351.0687,311.0761
3,Gossypol,C30H30O8,303-45-7,QBKSWRVVCFFDOT-UHFFFAOYSA-N,CC1=CC2=C(C(=C(C(=C2C(C)C)O)O)C=O)C(=C1C3=C(C4=C(C=C3C)C(=C(C(=C4C=O)O)O)C(C)C)O)O,519.2013,536.2279,541.1833,501.1908
3,3-Deoxo-3Beta-Hydroxymexicanolide 16-Enol Ether,C28H36O7,No CAS#,WJHQHAFOOMOTBJ-MSHADUKESA-N,C[C@@]12CCC3C(=C1C=C(O[C@H]2C4=COC=C4)OC)C[C@H]5[C@@H](C([C@@H]([C@@]3(C5=O)C)CC(=O)OC)(C)C)O,485.2534,502.2799,507.2353,467.2428
3,Xanthurenic Acid,C10H7NO4,59-00-7,FBZONXHGGPHHIY-UHFFFAOYSA-N,C1=CC2=C(C(=C1)O)NC(=CC2=O)C(=O)O,206.0448,223.0713,228.0267,188.0342
3,Pectolinarin,C29H34O15,28978-02-1 ,DUXQKCCELUKXOE-CBBZIXHGSA-N  ,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OC3=C(C(=C4C(=C3)OC(=CC4=O)C5=CC=C(C=C5)OC)O)OC)O)O)O)O)O)O,623.197,640.2236,645.179,605.1865
3,Baicalein,C15H10O5,491-67-8,FXNFHKRTJBSTCS-UHFFFAOYSA-N,C1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C=C(C(=C3O)O)O,271.0601,288.0866,293.042,253.0495
3,Biochanin A,C16H12O5,491-80-5,WUADCCWRTIWANL-UHFFFAOYSA-N,COC1=CC=C(C=C1)C2=COC3=CC(=CC(=C3C2=O)O)O,285.0757,302.1023,307.0577,267.0652
3,Methyl Deoxycholate,C25H42O4,3245-38-3,ZHUOOEGSSFNTNP-JMKDMENQSA-N,C[C@H](CCC(=O)OC)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2CC[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C,407.3156,424.3421,429.2975,389.305
3,3-Deoxy-3Beta-Hydroxyangolensic Acid Methyl Ester,C27H36O7,No CAS#,QFRUZVNPYYYLAN-JQFPPNBKSA-N,C[C@@]12CC[C@@H]3C(=C)[C@]1(CC(=O)O[C@H]2C4=COC=C4)O[C@@H]5[C@]3([C@H](C([C@H](C5)O)(C)C)CC(=O)OC)C,473.2534,490.2799,495.2353,455.2428
3,Alpha-Hydroxydeoxycholic Acid,C24H40O4,83-49-8,DGABKXLVXPYZII-SIBKNCMHSA-N,C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2C[C@@H]([C@H]4[C@@]3(CC[C@H](C4)O)C)O)C,393.2999,410.3265,415.2819,375.2894
3,Alpha-Dihydrogedunol,C28H38O7,No CAS#,IVHWWYNBMIROCV-AJIQNVKKSA-N,CC(=O)O[C@@H]1CC2[C@](CC[C@H](C2(C)C)O)(C3[C@@]1(C45C(O4)C(=O)O[C@H]([C@@]5(CC3)C)C6=COC=C6)C)C,487.269,504.2956,509.251,469.2585
3,"1,2Alpha-Epoxydeacetoxydihydrogedunin",C26H32O7,No CAS#,UIUKQADPLSFRBN-NIJWRPTQSA-N,C[C@@]12CCC3[C@](C14C(O4)C(=O)O[C@H]2C5=COC=C5)([C@@H](CC6[C@@]3([C@@H]7[C@@H](O7)C(=O)C6(C)C)C)O)C,457.2221,474.2486,479.204,439.2115
3,7-Deacetylkhivorin,C30H40O9,No CAS#,MRMHZWKIOFZZID-WNXWNNQMSA-N,CC(=O)O[C@H]1C[C@H](C(C2[C@]1(C3CC[C@]4([C@@H](OC(=O)[C@@H]5[C@@]4([C@@]3([C@@H](C2)O)C)O5)C6=COC=C6)C)C)(C)C)OC(=O)C,545.2745,562.3011,567.2565,527.2639
