Mix,Name,Formula,inchikey,smiles,RT,[M+H]+,[M+NH4]+,[M+Na]+,[M-H2O+H]+
1,Lupinine_glycoside,C10H19NO,HDVAWXXJVMJBAR-VHSXEESVSA-N,C1CCN2CCC[C@H]([C@H]2C1)CO,0,332.2072,349.2338,354.1892,314.1967
1,Lupinine_diglycoside,C10H19NO,HDVAWXXJVMJBAR-VHSXEESVSA-N,C1CCN2CCC[C@H]([C@H]2C1)CO,0,494.2605,511.2871,516.2425,476.25
1,Glycocholic Acid,C26H43NO6,RFDAIACWWDREDC-FRVQLJSFSA-N,C[C@H](CCC(=O)NCC(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)O)C,0,466.3163,483.3429,488.2983,448.3057
1,Glycocholic Acid_glycoside,C26H43NO6,RFDAIACWWDREDC-FRVQLJSFSA-N,C[C@H](CCC(=O)NCC(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)O)C,0,628.3696,645.3962,650.3516,610.359
1,Glycocholic Acid_diglycoside,C26H43NO6,RFDAIACWWDREDC-FRVQLJSFSA-N,C[C@H](CCC(=O)NCC(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)O)C,0,790.4229,807.4495,812.4049,772.4123
1,Rutilantinone,C22H20O9, RWCVSDKDFSVZNF-KRYGIPSASA-N  ,CC[C@]1(C[C@@H](C2=C(C3=C(C=C2[C@H]1C(=O)OC)C(=O)C4=C(C=CC(=C4C3=O)O)O)O)O)O,0,429.118,446.1446,451.1,411.1074
1,Rutilantinone_glycoside,C22H20O9, RWCVSDKDFSVZNF-KRYGIPSASA-N  ,CC[C@]1(C[C@@H](C2=C(C3=C(C=C2[C@H]1C(=O)OC)C(=O)C4=C(C=CC(=C4C3=O)O)O)O)O)O,0,591.1713,608.1979,613.1533,573.1607
1,Rutilantinone_diglycoside,C22H20O9, RWCVSDKDFSVZNF-KRYGIPSASA-N  ,CC[C@]1(C[C@@H](C2=C(C3=C(C=C2[C@H]1C(=O)OC)C(=O)C4=C(C=CC(=C4C3=O)O)O)O)O)O,0,753.2246,770.2512,775.2066,735.214
1,3-Amino-Beta-Pinene,C10H17N,ZEKALTOSWFXTCN-UHFFFAOYSA-N,CC1(C2CC1C(=C)C(C2)N)C,0,152.1434,169.1699,174.1253,134.1328
1,3-Amino-Beta-Pinene_glycoside,C10H17N,ZEKALTOSWFXTCN-UHFFFAOYSA-N,CC1(C2CC1C(=C)C(C2)N)C,0,314.1967,331.2232,336.1786,296.1861
1,3-Amino-Beta-Pinene_diglycoside,C10H17N,ZEKALTOSWFXTCN-UHFFFAOYSA-N,CC1(C2CC1C(=C)C(C2)N)C,0,476.25,493.2765,498.2319,458.2394
1,Sarmentoside B,C34H48O13,JJSVXWKQLGHFES-QGZYWIHFSA-N,CC1C(C(C(C(O1)O[C@H]2CC[C@@]3(C4[C@@H](C[C@@]5([C@H](CC[C@@]5(C4CC[C@@]3(C2)O)O)C6=CC(=O)OC6)C)OC(=O)C)C=O)O)OC)OC(=O)C,0,665.3168,682.3433,687.2987,647.3062
1,Sarmentoside B_glycoside,C34H48O13,JJSVXWKQLGHFES-QGZYWIHFSA-N,CC1C(C(C(C(O1)O[C@H]2CC[C@@]3(C4[C@@H](C[C@@]5([C@H](CC[C@@]5(C4CC[C@@]3(C2)O)O)C6=CC(=O)OC6)C)OC(=O)C)C=O)O)OC)OC(=O)C,0,827.3701,844.3966,849.352,809.3595
1,Sarmentoside B_diglycoside,C34H48O13,JJSVXWKQLGHFES-QGZYWIHFSA-N,CC1C(C(C(C(O1)O[C@H]2CC[C@@]3(C4[C@@H](C[C@@]5([C@H](CC[C@@]5(C4CC[C@@]3(C2)O)O)C6=CC(=O)OC6)C)OC(=O)C)C=O)O)OC)OC(=O)C,0,989.4234,1006.4499,1011.4053,971.4128
1,CRUSTECDYSONE,C27H44O7,NKDFYOWSKOHCCO-YPVLXUMRSA-N,C[C@]12CC[C@H]3C(=CC(=O)[C@H]4[C@@]3(C[C@@H]([C@@H](C4)O)O)C)[C@@]1(CC[C@@H]2[C@](C)([C@@H](CCC(C)(C)O)O)O)O,0,481.316,498.3425,503.2979,463.3054
1,CRUSTECDYSONE_glycoside,C27H44O7,NKDFYOWSKOHCCO-YPVLXUMRSA-N,C[C@]12CC[C@H]3C(=CC(=O)[C@H]4[C@@]3(C[C@@H]([C@@H](C4)O)O)C)[C@@]1(CC[C@@H]2[C@](C)([C@@H](CCC(C)(C)O)O)O)O,0,643.3693,660.3958,665.3512,625.3587
1,CRUSTECDYSONE_diglycoside,C27H44O7,NKDFYOWSKOHCCO-YPVLXUMRSA-N,C[C@]12CC[C@H]3C(=CC(=O)[C@H]4[C@@]3(C[C@@H]([C@@H](C4)O)O)C)[C@@]1(CC[C@@H]2[C@](C)([C@@H](CCC(C)(C)O)O)O)O,0,805.4226,822.4491,827.4045,787.412
1,Irigenol,C15H10O8,DFURNQJNFBMYHM-UHFFFAOYSA-N,C1=C(C=C(C(=C1O)O)O)C2=COC3=C(C2=O)C(=C(C(=C3)O)O)O,0,319.0448,336.0714,341.0268,301.0343
1,Irigenol_glycoside,C15H10O8,DFURNQJNFBMYHM-UHFFFAOYSA-N,C1=C(C=C(C(=C1O)O)O)C2=COC3=C(C2=O)C(=C(C(=C3)O)O)O,0,481.0981,498.1247,503.0801,463.0876
1,Irigenol_diglycoside,C15H10O8,DFURNQJNFBMYHM-UHFFFAOYSA-N,C1=C(C=C(C(=C1O)O)O)C2=COC3=C(C2=O)C(=C(C(=C3)O)O)O,0,643.1514,660.178,665.1334,625.1409
1,Cortisone,C21H28O5,MFYSYFVPBJMHGN-ZPOLXVRWSA-N,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2C(=O)C[C@]4([C@H]3CC[C@@]4(C(=O)CO)O)C,0,361.201,378.2275,383.1829,343.1904
1,Cortisone_glycoside,C21H28O5,MFYSYFVPBJMHGN-ZPOLXVRWSA-N,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2C(=O)C[C@]4([C@H]3CC[C@@]4(C(=O)CO)O)C,0,523.2543,540.2808,545.2362,505.2437
1,Cortisone_diglycoside,C21H28O5,MFYSYFVPBJMHGN-ZPOLXVRWSA-N,C[C@]12CCC(=O)C=C1CC[C@@H]3[C@@H]2C(=O)C[C@]4([C@H]3CC[C@@]4(C(=O)CO)O)C,0,685.3076,702.3341,707.2895,667.297
1,Deoxycholic Acid,C24H40O4,KXGVEGMKQFWNSR-LLQZFEROSA-N,C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2CC[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C,0,393.2999,410.3265,415.2819,375.2894
1,Deoxycholic Acid_glycoside,C24H40O4,KXGVEGMKQFWNSR-LLQZFEROSA-N,C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2CC[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C,0,555.3532,572.3798,577.3352,537.3427
1,Deoxycholic Acid_diglycoside,C24H40O4,KXGVEGMKQFWNSR-LLQZFEROSA-N,C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2CC[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C,0,717.4065,734.4331,739.3885,699.396
1,Ursolic Acid,C30H48O3,WCGUUGGRBIKTOS-GPOJBZKASA-N,C[C@@H]1CC[C@@]2(CC[C@@]3(C(=CC[C@H]4[C@]3(CC[C@@H]5[C@@]4(CC[C@@H](C5(C)C)O)C)C)[C@@H]2[C@H]1C)C)C(=O)O,0,457.3676,474.3942,479.3496,439.3571
1,Ursolic Acid_glycoside,C30H48O3,WCGUUGGRBIKTOS-GPOJBZKASA-N,C[C@@H]1CC[C@@]2(CC[C@@]3(C(=CC[C@H]4[C@]3(CC[C@@H]5[C@@]4(CC[C@@H](C5(C)C)O)C)C)[C@@H]2[C@H]1C)C)C(=O)O,0,619.4209,636.4475,641.4029,601.4104
1,Ursolic Acid_diglycoside,C30H48O3,WCGUUGGRBIKTOS-GPOJBZKASA-N,C[C@@H]1CC[C@@]2(CC[C@@]3(C(=CC[C@H]4[C@]3(CC[C@@H]5[C@@]4(CC[C@@H](C5(C)C)O)C)C)[C@@H]2[C@H]1C)C)C(=O)O,0,781.4742,798.5008,803.4562,763.4637
1,3Alpha-Hydroxy-3-Deoxyangolensic Acid Methyl Ester,C27H36O7,QFRUZVNPYYYLAN-BBJYNIMOSA-N,C[C@@]12CCC3C(=C)[C@]1(CC(=O)O[C@H]2C4=COC=C4)O[C@@H]5[C@]3(C(C(C(C5)O)(C)C)CC(=O)OC)C,0,473.2534,490.2799,495.2353,455.2428
1,3Alpha-Hydroxy-3-Deoxyangolensic Acid Methyl Ester_glycoside,C27H36O7,QFRUZVNPYYYLAN-BBJYNIMOSA-N,C[C@@]12CCC3C(=C)[C@]1(CC(=O)O[C@H]2C4=COC=C4)O[C@@H]5[C@]3(C(C(C(C5)O)(C)C)CC(=O)OC)C,0,635.3067,652.3332,657.2886,617.2961
1,3Alpha-Hydroxy-3-Deoxyangolensic Acid Methyl Ester_diglycoside,C27H36O7,QFRUZVNPYYYLAN-BBJYNIMOSA-N,C[C@@]12CCC3C(=C)[C@]1(CC(=O)O[C@H]2C4=COC=C4)O[C@@H]5[C@]3(C(C(C(C5)O)(C)C)CC(=O)OC)C,0,797.36,814.3865,819.3419,779.3494
1,Tubocurarine,C37H41N2O6+,JFJZZMVDLULRGK-URLMMPGGSA-O,CN1CCC2=CC(=C3C=C2[C@@H]1CC4=CC=C(C=C4)OC5=C6[C@@H](CC7=CC(=C(C=C7)O)O3)[N+](CCC6=CC(=C5O)OC)(C)C)OC,0,610.3037,627.3303,632.2857,592.2932
1,Tubocurarine_glycoside,C37H41N2O6+,JFJZZMVDLULRGK-URLMMPGGSA-O,CN1CCC2=CC(=C3C=C2[C@@H]1CC4=CC=C(C=C4)OC5=C6[C@@H](CC7=CC(=C(C=C7)O)O3)[N+](CCC6=CC(=C5O)OC)(C)C)OC,0,772.357,789.3836,794.339,754.3465
1,Tubocurarine_diglycoside,C37H41N2O6+,JFJZZMVDLULRGK-URLMMPGGSA-O,CN1CCC2=CC(=C3C=C2[C@@H]1CC4=CC=C(C=C4)OC5=C6[C@@H](CC7=CC(=C(C=C7)O)O3)[N+](CCC6=CC(=C5O)OC)(C)C)OC,0,934.4103,951.4369,956.3923,916.3998
1,Purpurin,C14H8O5,BBNQQADTFFCFGB-UHFFFAOYSA-N,C1=CC=C2C(=C1)C(=O)C3=C(C2=O)C(=C(C=C3O)O)O,0,257.0444,274.071,279.0264,239.0339
1,Purpurin_glycoside,C14H8O5,BBNQQADTFFCFGB-UHFFFAOYSA-N,C1=CC=C2C(=C1)C(=O)C3=C(C2=O)C(=C(C=C3O)O)O,0,419.0977,436.1243,441.0797,401.0872
1,Purpurin_diglycoside,C14H8O5,BBNQQADTFFCFGB-UHFFFAOYSA-N,C1=CC=C2C(=C1)C(=O)C3=C(C2=O)C(=C(C=C3O)O)O,0,581.151,598.1776,603.133,563.1405
1,Silibinin,C25H22O10,SEBFKMXJBCUCAI-HKTJVKLFSA-N ,COC1=C(C=CC(=C1)[C@@H]2[C@H](OC3=C(O2)C=C(C=C3)[C@@H]4[C@H](C(=O)C5=C(C=C(C=C5O4)O)O)O)CO)O,0,483.1286,500.1551,505.1105,465.118
1,Silibinin_glycoside,C25H22O10,SEBFKMXJBCUCAI-HKTJVKLFSA-N ,COC1=C(C=CC(=C1)[C@@H]2[C@H](OC3=C(O2)C=C(C=C3)[C@@H]4[C@H](C(=O)C5=C(C=C(C=C5O4)O)O)O)CO)O,0,645.1819,662.2084,667.1638,627.1713
1,Silibinin_diglycoside,C25H22O10,SEBFKMXJBCUCAI-HKTJVKLFSA-N ,COC1=C(C=CC(=C1)[C@@H]2[C@H](OC3=C(O2)C=C(C=C3)[C@@H]4[C@H](C(=O)C5=C(C=C(C=C5O4)O)O)O)CO)O,0,807.2352,824.2617,829.2171,789.2246
1,Physcion,C16H12O5,FFWOKTFYGVYKIR-UHFFFAOYSA-N,CC1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=C(C=C3O)OC,0,285.0757,302.1023,307.0577,267.0652
1,Physcion_glycoside,C16H12O5,FFWOKTFYGVYKIR-UHFFFAOYSA-N,CC1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=C(C=C3O)OC,0,447.129,464.1556,469.111,429.1185
1,Physcion_diglycoside,C16H12O5,FFWOKTFYGVYKIR-UHFFFAOYSA-N,CC1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=C(C=C3O)OC,0,609.1823,626.2089,631.1643,591.1718
1,PODOFILOX,C22H22O8,YJGVMLPVUAXIQN-XVVDYKMHSA-N,COC1=CC(=CC(=C1OC)OC)[C@H]2[C@@H]3[C@H](COC3=O)[C@H](C4=CC5=C(C=C24)OCO5)O,0,415.1387,432.1653,437.1207,397.1282
1,PODOFILOX_glycoside,C22H22O8,YJGVMLPVUAXIQN-XVVDYKMHSA-N,COC1=CC(=CC(=C1OC)OC)[C@H]2[C@@H]3[C@H](COC3=O)[C@H](C4=CC5=C(C=C24)OCO5)O,0,577.192,594.2186,599.174,559.1815
1,PODOFILOX_diglycoside,C22H22O8,YJGVMLPVUAXIQN-XVVDYKMHSA-N,COC1=CC(=CC(=C1OC)OC)[C@H]2[C@@H]3[C@H](COC3=O)[C@H](C4=CC5=C(C=C24)OCO5)O,0,739.2453,756.2719,761.2273,721.2348
1,Tetrahydrogambogic Acid,C38H48O8,CXFIQFGADOTDPF-XKZIYDEJSA-N,CC(=CCCC1(C=CC2=C(C3=C(C(=C2O1)CC=C(C)C)OC45C(C3=O)CC6CC4C(OC5(C6O)C/C=C(/C)\C(=O)O)(C)C)O)C)C,0,633.3422,650.3687,655.3241,615.3316
1,Tetrahydrogambogic Acid_glycoside,C38H48O8,CXFIQFGADOTDPF-XKZIYDEJSA-N,CC(=CCCC1(C=CC2=C(C3=C(C(=C2O1)CC=C(C)C)OC45C(C3=O)CC6CC4C(OC5(C6O)C/C=C(/C)\C(=O)O)(C)C)O)C)C,0,795.3955,812.422,817.3774,777.3849
1,Tetrahydrogambogic Acid_diglycoside,C38H48O8,CXFIQFGADOTDPF-XKZIYDEJSA-N,CC(=CCCC1(C=CC2=C(C3=C(C(=C2O1)CC=C(C)C)OC45C(C3=O)CC6CC4C(OC5(C6O)C/C=C(/C)\C(=O)O)(C)C)O)C)C,0,957.4488,974.4753,979.4307,939.4382
1,"3Beta-Hydroxy-23,24-Bisnorchol-5-Enic Acid",C22H34O3,NPBNRBWMDNZEBN-YTEKVJICSA-N,CC([C@H]1CCC2[C@@]1(CCC3C2CC=C4[C@@]3(CC[C@@H](C4)O)C)C)C(=O)O,0,347.2581,364.2846,369.24,329.2475
1,"3Beta-Hydroxy-23,24-Bisnorchol-5-Enic Acid_glycoside",C22H34O3,NPBNRBWMDNZEBN-YTEKVJICSA-N,CC([C@H]1CCC2[C@@]1(CCC3C2CC=C4[C@@]3(CC[C@@H](C4)O)C)C)C(=O)O,0,509.3114,526.3379,531.2933,491.3008
1,"3Beta-Hydroxy-23,24-Bisnorchol-5-Enic Acid_diglycoside",C22H34O3,NPBNRBWMDNZEBN-YTEKVJICSA-N,CC([C@H]1CCC2[C@@]1(CCC3C2CC=C4[C@@]3(CC[C@@H](C4)O)C)C)C(=O)O,0,671.3647,688.3912,693.3466,653.3541
1,Deacetoxy(7)-7-Oxokhivorinic Acid,C27H36O10,WROKSYFOSDWFHL-UQVLWQGYSA-N,CC(=O)O[C@H]1C[C@H](C(C2[C@]1(C3CC[C@]4([C@@H](OC(=O)C5C4([C@@]3(C(=O)C2)C)O5)C(=O)O)C)C)(C)C)OC(=O)C,0,521.2381,538.2647,543.2201,503.2276
1,Deacetoxy(7)-7-Oxokhivorinic Acid_glycoside,C27H36O10,WROKSYFOSDWFHL-UQVLWQGYSA-N,CC(=O)O[C@H]1C[C@H](C(C2[C@]1(C3CC[C@]4([C@@H](OC(=O)C5C4([C@@]3(C(=O)C2)C)O5)C(=O)O)C)C)(C)C)OC(=O)C,0,683.2914,700.318,705.2734,665.2809
1,Deacetoxy(7)-7-Oxokhivorinic Acid_diglycoside,C27H36O10,WROKSYFOSDWFHL-UQVLWQGYSA-N,CC(=O)O[C@H]1C[C@H](C(C2[C@]1(C3CC[C@]4([C@@H](OC(=O)C5C4([C@@]3(C(=O)C2)C)O5)C(=O)O)C)C)(C)C)OC(=O)C,0,845.3447,862.3713,867.3267,827.3342
1,Cearoin,C14H12O4,NFJVELXCUBWAFL-UHFFFAOYSA-N,COC1=C(C=C(C(=C1)O)C(=O)C2=CC=CC=C2)O,0,245.0808,262.1074,267.0628,227.0703
1,Cearoin_glycoside,C14H12O4,NFJVELXCUBWAFL-UHFFFAOYSA-N,COC1=C(C=C(C(=C1)O)C(=O)C2=CC=CC=C2)O,0,407.1341,424.1607,429.1161,389.1236
1,Cearoin_diglycoside,C14H12O4,NFJVELXCUBWAFL-UHFFFAOYSA-N,COC1=C(C=C(C(=C1)O)C(=O)C2=CC=CC=C2)O,0,569.1874,586.214,591.1694,551.1769
1,Avocadyne Acetate,C19H34O4,JAKAZHIACKJNNB-OALUTQOASA-N ,CC(=O)OC[C@H](C[C@H](CCCCCCCCCCCC#C)O)O,0,327.253,344.2795,349.2349,309.2424
1,Avocadyne Acetate_glycoside,C19H34O4,JAKAZHIACKJNNB-OALUTQOASA-N ,CC(=O)OC[C@H](C[C@H](CCCCCCCCCCCC#C)O)O,0,489.3063,506.3328,511.2882,471.2957
1,Avocadyne Acetate_diglycoside,C19H34O4,JAKAZHIACKJNNB-OALUTQOASA-N ,CC(=O)OC[C@H](C[C@H](CCCCCCCCCCCC#C)O)O,0,651.3596,668.3861,673.3415,633.349
1,Pomiferin,C25H24O6,GHCZYXUOYFOXIP-UHFFFAOYSA-N,CC(=CCC1=C2C(=C3C(=C1O)C(=O)C(=CO3)C4=CC(=C(C=C4)O)O)C=CC(O2)(C)C)C,0,421.1646,438.1911,443.1465,403.154
1,Pomiferin_glycoside,C25H24O6,GHCZYXUOYFOXIP-UHFFFAOYSA-N,CC(=CCC1=C2C(=C3C(=C1O)C(=O)C(=CO3)C4=CC(=C(C=C4)O)O)C=CC(O2)(C)C)C,0,583.2179,600.2444,605.1998,565.2073
1,Pomiferin_diglycoside,C25H24O6,GHCZYXUOYFOXIP-UHFFFAOYSA-N,CC(=CCC1=C2C(=C3C(=C1O)C(=O)C(=CO3)C4=CC(=C(C=C4)O)O)C=CC(O2)(C)C)C,0,745.2712,762.2977,767.2531,727.2606
1,Dihydrojasmonic Acid,C12H20O3,PQEYTAGBXNEUQL-UHFFFAOYSA-N,CCCCCC1C(CCC1=O)CC(=O)O,0,213.1485,230.1751,235.1305,195.138
1,Dihydrojasmonic Acid_glycoside,C12H20O3,PQEYTAGBXNEUQL-UHFFFAOYSA-N,CCCCCC1C(CCC1=O)CC(=O)O,0,375.2018,392.2284,397.1838,357.1913
1,Dihydrojasmonic Acid_diglycoside,C12H20O3,PQEYTAGBXNEUQL-UHFFFAOYSA-N,CCCCCC1C(CCC1=O)CC(=O)O,0,537.2551,554.2817,559.2371,519.2446
1,Emodin,C15H10O5,RHMXXJGYXNZAPX-UHFFFAOYSA-N,CC1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=C(C=C3O)O,0,271.0601,288.0866,293.042,253.0495
1,Emodin_glycoside,C15H10O5,RHMXXJGYXNZAPX-UHFFFAOYSA-N,CC1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=C(C=C3O)O,0,433.1134,450.1399,455.0953,415.1028
1,Emodin_diglycoside,C15H10O5,RHMXXJGYXNZAPX-UHFFFAOYSA-N,CC1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=C(C=C3O)O,0,595.1667,612.1932,617.1486,577.1561
1,Beta-Caryophyllene Alcohol,C15H26O,FUQAYSQLAOJBBC-UHFFFAOYSA-N,CC1(CC2C1CCC3(CCCC2(C3)O)C)C,0,223.2056,240.2322,245.1876,205.1951
1,Beta-Caryophyllene Alcohol_glycoside,C15H26O,FUQAYSQLAOJBBC-UHFFFAOYSA-N,CC1(CC2C1CCC3(CCCC2(C3)O)C)C,0,385.2589,402.2855,407.2409,367.2484
1,Beta-Caryophyllene Alcohol_diglycoside,C15H26O,FUQAYSQLAOJBBC-UHFFFAOYSA-N,CC1(CC2C1CCC3(CCCC2(C3)O)C)C,0,547.3122,564.3388,569.2942,529.3017
1,Methyl Orsellinate,C9H10O4,NCCWCZLEACWJIN-UHFFFAOYSA-N,CC1=CC(=CC(=C1C(=O)OC)O)O,0,183.0652,200.0917,205.0471,165.0546
1,Methyl Orsellinate_glycoside,C9H10O4,NCCWCZLEACWJIN-UHFFFAOYSA-N,CC1=CC(=CC(=C1C(=O)OC)O)O,0,345.1185,362.145,367.1004,327.1079
1,Methyl Orsellinate_diglycoside,C9H10O4,NCCWCZLEACWJIN-UHFFFAOYSA-N,CC1=CC(=CC(=C1C(=O)OC)O)O,0,507.1718,524.1983,529.1537,489.1612
1,Vincamine,C21H26N2O3,RXPRRQLKFXBCSJ-GIVPXCGWSA-N,CC[C@@]12CCCN3[C@@H]1C4=C(CC3)C5=CC=CC=C5N4[C@](C2)(C(=O)OC)O,0,355.2016,372.2282,377.1836,337.1911
1,Vincamine_glycoside,C21H26N2O3,RXPRRQLKFXBCSJ-GIVPXCGWSA-N,CC[C@@]12CCCN3[C@@H]1C4=C(CC3)C5=CC=CC=C5N4[C@](C2)(C(=O)OC)O,0,517.2549,534.2815,539.2369,499.2444
1,Vincamine_diglycoside,C21H26N2O3,RXPRRQLKFXBCSJ-GIVPXCGWSA-N,CC[C@@]12CCCN3[C@@H]1C4=C(CC3)C5=CC=CC=C5N4[C@](C2)(C(=O)OC)O,0,679.3082,696.3348,701.2902,661.2977
1,3-Hydroxytyramine,C8H11NO2,VYFYYTLLBUKUHU-UHFFFAOYSA-N,C1=CC(=C(C=C1CCN)O)O,0,154.0863,171.1128,176.0682,136.0757
1,3-Hydroxytyramine_glycoside,C8H11NO2,VYFYYTLLBUKUHU-UHFFFAOYSA-N,C1=CC(=C(C=C1CCN)O)O,0,316.1396,333.1661,338.1215,298.129
1,3-Hydroxytyramine_diglycoside,C8H11NO2,VYFYYTLLBUKUHU-UHFFFAOYSA-N,C1=CC(=C(C=C1CCN)O)O,0,478.1929,495.2194,500.1748,460.1823
1,Protoporphyrin IX,C34H34N4O4,ZCFFYALKHPIRKJ-UHFFFAOYSA-N,CC1=C(C2=CC3=NC(=CC4=NC(=CC5=C(C(=C(N5)C=C1N2)C=C)C)C(=C4CCC(=O)O)C)C(=C3C)CCC(=O)O)C=C,0,563.2653,580.2918,585.2472,545.2547
1,Protoporphyrin IX_glycoside,C34H34N4O4,ZCFFYALKHPIRKJ-UHFFFAOYSA-N,CC1=C(C2=CC3=NC(=CC4=NC(=CC5=C(C(=C(N5)C=C1N2)C=C)C)C(=C4CCC(=O)O)C)C(=C3C)CCC(=O)O)C=C,0,725.3186,742.3451,747.3005,707.308
1,Protoporphyrin IX_diglycoside,C34H34N4O4,ZCFFYALKHPIRKJ-UHFFFAOYSA-N,CC1=C(C2=CC3=NC(=CC4=NC(=CC5=C(C(=C(N5)C=C1N2)C=C)C)C(=C4CCC(=O)O)C)C(=C3C)CCC(=O)O)C=C,0,887.3719,904.3984,909.3538,869.3613
1,Xylocarpus A,C31H38O11,AOUYWWJPLUTFAB-NUIIJRBZSA-N,CC(=O)O[C@@H]1[C@H]2C(C(C([C@@]3([C@@]2(O[C@]14C3CC[C@@]5(C4=CC(=O)O[C@H]5C6=COC=C6)C)O)C)CC(=O)OC)(C)C)OC(=O)C,0,587.2487,604.2752,609.2306,569.2381
1,Xylocarpus A_glycoside,C31H38O11,AOUYWWJPLUTFAB-NUIIJRBZSA-N,CC(=O)O[C@@H]1[C@H]2C(C(C([C@@]3([C@@]2(O[C@]14C3CC[C@@]5(C4=CC(=O)O[C@H]5C6=COC=C6)C)O)C)CC(=O)OC)(C)C)OC(=O)C,0,749.302,766.3285,771.2839,731.2914
1,Xylocarpus A_diglycoside,C31H38O11,AOUYWWJPLUTFAB-NUIIJRBZSA-N,CC(=O)O[C@@H]1[C@H]2C(C(C([C@@]3([C@@]2(O[C@]14C3CC[C@@]5(C4=CC(=O)O[C@H]5C6=COC=C6)C)O)C)CC(=O)OC)(C)C)OC(=O)C,0,911.3553,928.3818,933.3372,893.3447
1,Methyl 7-Deshydroxypyrogallin-4-Carboxylate,C12H13NO2,AJXPJJZHWIXJCJ-UHFFFAOYSA-N,CC1(CC(=O)N(C1=O)C)C2=CC=CC=C2,0,204.1019,221.1285,226.0838,186.0913
